MOF,LCD,LCD/PLD,PLD,density (cm3/g),Pore Volume (cm3/g),Porosity,Surface Area (m2/g), %C, %H, %O, %N,%Metal,O-to-M,MP,TDU,DU,H2O_Kh,FA_Kh,FA
AVAKEP_clean,25.17564,2.015068407,12.49369,0.244994,3.63356,0.890200399,5799.87,51.89189189,38.91891892,6.486486486,1.081081081,1.621621622,8,3.125,241,0.627604167,7.24E-06,1.20E-05,1.453784387
AVEQID_clean,7.54994,1.212350984,6.22752,0.801255,0.876126,0.702000338,2819.83,51.1627907,23.25581395,18.60465116,2.325581395,4.651162791,8,9.090909091,69,0.784090909,9.28E-06,2.43E-05,10.3122402
AVIPAX_clean,7.26399,1.383403703,5.25081,0.96381,0.610286,0.58819975,1925.33,43.75,18.75,25,6.25,6.25,8,14.28571429,67,0.797619048,1.56E-05,5.85E-05,7.090867209
AVIPOL_clean,6.57451,1.176688204,5.5873,0.939158,0.64313,0.604000685,1839.35,43.75,18.75,25,6.25,6.25,8,14.28571429,45,0.803571429,1.38E-05,4.53E-05,7.318183249
AWASEY_clean,12.05091,1.659427245,7.26209,1.15771,0.620707,0.718598701,1646.54,37.97468354,25.3164557,12.65822785,6.329113924,10.12658228,2.5,26.66666667,161,0.670833333,2.42E-06,4.43E-06,0.604360468
AWEVIJ_clean,10.6197,1.226391017,8.65931,0.747212,0.857588,0.640800045,2151.16,49.76525822,41.31455399,3.755868545,4.225352113,0.938967136,8,1.886792453,497,0.586084906,6.11E-05,0.000104551,5.522722585
AWUPAL_clean,18.42063,1.99451797,9.23563,0.348553,2.44956,0.853801487,5001.08,57.14285714,29.71428571,9.142857143,2.285714286,1.714285714,10.66666667,3,149,0.745,6.70E-06,1.21E-05,1.615153451
AYOQEM_clean,12.16451,1.769787428,6.87343,0.774775,0.912006,0.706599449,2997.35,47.61904762,28.57142857,19.04761905,0,4.761904762,8,10,337,0.702083333,8.73E-06,2.18E-05,6.425520003
AYUJIP_clean,12.69936,1.609145475,7.89199,1.08786,0.570296,0.620402207,1531.63,32.9787234,41.4893617,17.0212766,2.127659574,6.382978723,5.333333333,19.35483871,208,0.372759857,2.61E-05,6.77E-05,3.572145792
AZIVAI_clean,7.0547,1.214420109,5.80911,0.682418,1.04774,0.714996635,3825.28,54.05405405,32.43243243,0,10.81081081,2.702702703,0,5,57,0.7125,1.19E-05,3.30E-05,12.12545801
BAMKIM_clean,6.79615,1.181663751,5.75134,1.10764,0.511536,0.566597735,1338.8,39.28571429,37.5,8.928571429,10.71428571,3.571428571,5,9.090909091,47,0.534090909,8.22E-06,1.98E-05,4.94905805
BAMKOS_clean,6.76349,1.162419266,5.81846,1.11335,0.515203,0.57360126,1357.89,39.28571429,37.5,8.928571429,10.71428571,3.571428571,5,9.090909091,47,0.534090909,9.03E-06,2.14E-05,5.460232097
BARZUR_clean,5.4946,1.036151985,5.30289,0.925783,0.654797,0.606199931,1868.31,37.73584906,37.73584906,0,22.64150943,1.886792453,0,5,31,0.516666667,3.29E-05,0.000139576,6.816671926
BAWROI_clean,13.54985,1.483994585,9.13066,0.629882,1.23737,0.77939709,3143.05,43.68932039,25.24271845,11.65048544,14.5631068,4.854368932,4.8,11.11111111,257,0.713888889,6.24E-06,1.37E-05,1.938627403
BAZFUF_clean,20.24597,2.358614559,8.58384,0.340053,2.54313,0.864798986,5368.02,54.54545455,30.3030303,12.12121212,0,3.03030303,8,5.555555556,157,0.726851852,5.65E-06,9.50E-06,1.199421802
BAZFUF01_clean,20.14565,2.357305422,8.54605,0.342062,2.52293,0.862998482,5353.8,54.54545455,30.3030303,12.12121212,0,3.03030303,8,5.555555556,157,0.726851852,5.65E-06,9.49E-06,1.073709208
